DATE,STATION,TMAX,TMIN,TMAX_F,TMIN_F
2024-01-01,USR0000CBAR,172.0,67.0,63.0,44.0
2024-01-02,USR0000CBAR,117.0,67.0,53.0,44.0
2024-01-03,USR0000CBAR,122.0,72.0,54.0,45.0
2024-01-04,USR0000CBAR,156.0,72.0,60.0,45.0
2024-01-05,USR0000CBAR,178.0,89.0,64.0,48.0
2024-01-06,USR0000CBAR,106.0,44.0,51.0,40.0
2024-01-07,USR0000CBAR,117.0,39.0,53.0,39.0
2024-01-08,USR0000CBAR,128.0,39.0,55.0,39.0
2024-01-09,USR0000CBAR,122.0,67.0,54.0,44.0
2024-01-10,USR0000CBAR,106.0,56.0,51.0,42.0
2024-01-11,USR0000CBAR,133.0,33.0,56.0,38.0
2024-01-12,USR0000CBAR,111.0,44.0,52.0,40.0
2024-01-13,USR0000CBAR,122.0,89.0,54.0,48.0
2024-01-14,USR0000CBAR,156.0,72.0,60.0,45.0
2024-01-15,USR0000CBAR,156.0,72.0,60.0,45.0
2024-01-16,USR0000CBAR,122.0,78.0,54.0,46.0
2024-01-17,USR0000CBAR,150.0,72.0,59.0,45.0
2024-01-18,USR0000CBAR,128.0,67.0,55.0,44.0
2024-01-19,USR0000CBAR,117.0,89.0,53.0,48.0
2024-01-20,USR0000CBAR,122.0,94.0,54.0,49.0
2024-01-21,USR0000CBAR,122.0,100.0,54.0,50.0
2024-01-22,USR0000CBAR,144.0,111.0,58.0,52.0
2024-01-23,USR0000CBAR,156.0,94.0,60.0,49.0
2024-01-24,USR0000CBAR,128.0,83.0,55.0,47.0
2024-01-25,USR0000CBAR,150.0,89.0,59.0,48.0
2024-01-26,USR0000CBAR,144.0,89.0,58.0,48.0
2024-01-27,USR0000CBAR,183.0,100.0,65.0,50.0
2024-01-28,USR0000CBAR,200.0,122.0,68.0,54.0
2024-01-29,USR0000CBAR,217.0,117.0,71.0,53.0
2024-01-30,USR0000CBAR,189.0,100.0,66.0,50.0
2024-01-31,USR0000CBAR,128.0,94.0,55.0,49.0
2024-02-01,USR0000CBAR,139.0,78.0,57.0,46.0
2024-02-02,USR0000CBAR,133.0,56.0,56.0,42.0
2024-02-03,USR0000CBAR,100.0,56.0,50.0,42.0
2024-02-04,USR0000CBAR,128.0,67.0,55.0,44.0
2024-02-05,USR0000CBAR,139.0,67.0,57.0,44.0
2024-02-06,USR0000CBAR,133.0,67.0,56.0,44.0
2024-02-07,USR0000CBAR,83.0,56.0,47.0,42.0
2024-02-08,USR0000CBAR,133.0,33.0,56.0,38.0
2024-02-09,USR0000CBAR,139.0,33.0,57.0,38.0
2024-02-10,USR0000CBAR,167.0,56.0,62.0,42.0
2024-02-11,USR0000CBAR,161.0,72.0,61.0,45.0
2024-02-12,USR0000CBAR,172.0,50.0,63.0,41.0
2024-02-13,USR0000CBAR,139.0,67.0,57.0,44.0
2024-02-14,USR0000CBAR,111.0,89.0,52.0,48.0
2024-02-15,USR0000CBAR,150.0,83.0,59.0,47.0
2024-02-16,USR0000CBAR,133.0,78.0,56.0,46.0
2024-02-17,USR0000CBAR,117.0,89.0,53.0,48.0
2024-02-18,USR0000CBAR,150.0,89.0,59.0,48.0
2024-02-19,USR0000CBAR,122.0,100.0,54.0,50.0
2024-02-20,USR0000CBAR,117.0,78.0,53.0,46.0
2024-02-21,USR0000CBAR,144.0,67.0,58.0,44.0
2024-02-22,USR0000CBAR,167.0,56.0,62.0,42.0
2024-02-23,USR0000CBAR,183.0,72.0,65.0,45.0
2024-02-24,USR0000CBAR,217.0,100.0,71.0,50.0
2024-02-25,USR0000CBAR,200.0,100.0,68.0,50.0
2024-02-26,USR0000CBAR,150.0,72.0,59.0,45.0
2024-02-27,USR0000CBAR,167.0,39.0,62.0,39.0
2024-02-28,USR0000CBAR,200.0,61.0,68.0,43.0
2024-02-29,USR0000CBAR,111.0,83.0,52.0,47.0
2024-03-01,USR0000CBAR,106.0,78.0,51.0,46.0
2024-03-02,USR0000CBAR,94.0,50.0,49.0,41.0
2024-03-03,USR0000CBAR,117.0,50.0,53.0,41.0
2024-03-04,USR0000CBAR,122.0,44.0,54.0,40.0
2024-03-05,USR0000CBAR,122.0,89.0,54.0,48.0
2024-03-06,USR0000CBAR,150.0,83.0,59.0,47.0
2024-03-07,USR0000CBAR,150.0,61.0,59.0,43.0
