DATE,STATION,TMAX,TMIN,TMAX_F,TMIN_F
2022-01-01,USR0000CBAR,122.0,22.0,54.0,36.0
2022-01-02,USR0000CBAR,111.0,17.0,52.0,35.0
2022-01-03,USR0000CBAR,117.0,72.0,53.0,45.0
2022-01-04,USR0000CBAR,144.0,100.0,58.0,50.0
2022-01-05,USR0000CBAR,167.0,89.0,62.0,48.0
2022-01-06,USR0000CBAR,117.0,94.0,53.0,49.0
2022-01-07,USR0000CBAR,106.0,72.0,51.0,45.0
2022-01-08,USR0000CBAR,139.0,44.0,57.0,40.0
2022-01-09,USR0000CBAR,122.0,61.0,54.0,43.0
2022-01-10,USR0000CBAR,167.0,78.0,62.0,46.0
2022-01-11,USR0000CBAR,189.0,89.0,66.0,48.0
2022-01-12,USR0000CBAR,167.0,83.0,62.0,47.0
2022-01-13,USR0000CBAR,167.0,78.0,62.0,46.0
2022-01-14,USR0000CBAR,200.0,72.0,68.0,45.0
2022-01-15,USR0000CBAR,167.0,83.0,62.0,47.0
2022-01-16,USR0000CBAR,161.0,89.0,61.0,48.0
2022-01-17,USR0000CBAR,178.0,67.0,64.0,44.0
2022-01-18,USR0000CBAR,144.0,50.0,58.0,41.0
2022-01-19,USR0000CBAR,172.0,50.0,63.0,41.0
2022-01-20,USR0000CBAR,211.0,94.0,70.0,49.0
2022-01-21,USR0000CBAR,217.0,89.0,71.0,48.0
2022-01-22,USR0000CBAR,211.0,94.0,70.0,49.0
2022-01-23,USR0000CBAR,183.0,78.0,65.0,46.0
2022-01-24,USR0000CBAR,183.0,67.0,65.0,44.0
2022-01-25,USR0000CBAR,150.0,33.0,59.0,38.0
2022-01-26,USR0000CBAR,156.0,28.0,60.0,37.0
2022-01-27,USR0000CBAR,194.0,78.0,67.0,46.0
2022-01-28,USR0000CBAR,172.0,83.0,63.0,47.0
2022-01-29,USR0000CBAR,200.0,72.0,68.0,45.0
2022-01-30,USR0000CBAR,172.0,44.0,63.0,40.0
2022-01-31,USR0000CBAR,150.0,67.0,59.0,44.0
2022-02-01,USR0000CBAR,161.0,28.0,61.0,37.0
2022-02-02,USR0000CBAR,172.0,83.0,63.0,47.0
2022-02-03,USR0000CBAR,189.0,72.0,66.0,45.0
2022-02-04,USR0000CBAR,172.0,72.0,63.0,45.0
2022-02-05,USR0000CBAR,183.0,78.0,65.0,46.0
2022-02-06,USR0000CBAR,211.0,56.0,70.0,42.0
2022-02-07,USR0000CBAR,217.0,44.0,71.0,40.0
2022-02-08,USR0000CBAR,239.0,100.0,75.0,50.0
2022-02-09,USR0000CBAR,256.0,139.0,78.0,57.0
2022-02-10,USR0000CBAR,267.0,161.0,80.0,61.0
2022-02-11,USR0000CBAR,278.0,144.0,82.0,58.0
2022-02-12,USR0000CBAR,233.0,128.0,74.0,55.0
2022-02-13,USR0000CBAR,239.0,72.0,75.0,45.0
2022-02-14,USR0000CBAR,100.0,72.0,50.0,45.0
2022-02-15,USR0000CBAR,133.0,50.0,56.0,41.0
2022-02-16,USR0000CBAR,189.0,78.0,66.0,46.0
2022-02-17,USR0000CBAR,206.0,89.0,69.0,48.0
2022-02-18,USR0000CBAR,217.0,89.0,71.0,48.0
2022-02-19,USR0000CBAR,233.0,61.0,74.0,43.0
2022-02-20,USR0000CBAR,133.0,44.0,56.0,40.0
2022-02-21,USR0000CBAR,111.0,50.0,52.0,41.0
2022-02-22,USR0000CBAR,89.0,28.0,48.0,37.0
2022-02-23,USR0000CBAR,122.0,6.0,54.0,33.0
2022-02-24,USR0000CBAR,150.0,17.0,59.0,35.0
2022-02-25,USR0000CBAR,172.0,17.0,63.0,35.0
2022-02-26,USR0000CBAR,161.0,39.0,61.0,39.0
2022-02-27,USR0000CBAR,200.0,56.0,68.0,42.0
2022-02-28,USR0000CBAR,233.0,83.0,74.0,47.0
2022-03-01,USR0000CBAR,206.0,94.0,69.0,49.0
2022-03-02,USR0000CBAR,200.0,89.0,68.0,48.0
2022-03-03,USR0000CBAR,128.0,78.0,55.0,46.0
2022-03-04,USR0000CBAR,117.0,44.0,53.0,40.0
2022-03-05,USR0000CBAR,133.0,39.0,56.0,39.0
2022-03-06,USR0000CBAR,172.0,50.0,63.0,41.0
2022-03-07,USR0000CBAR,206.0,67.0,69.0,44.0
2022-03-08,USR0000CBAR,233.0,94.0,74.0,49.0
2022-03-09,USR0000CBAR,144.0,78.0,58.0,46.0
2022-03-10,USR0000CBAR,200.0,50.0,68.0,41.0
2022-03-11,USR0000CBAR,222.0,94.0,72.0,49.0
2022-03-12,USR0000CBAR,189.0,78.0,66.0,46.0
2022-03-13,USR0000CBAR,150.0,61.0,59.0,43.0
2022-03-14,USR0000CBAR,211.0,50.0,70.0,41.0
2022-03-15,USR0000CBAR,161.0,78.0,61.0,46.0
2022-03-16,USR0000CBAR,172.0,61.0,63.0,43.0
2022-03-17,USR0000CBAR,161.0,67.0,61.0,44.0
2022-03-18,USR0000CBAR,211.0,44.0,70.0,40.0
2022-03-19,USR0000CBAR,128.0,61.0,55.0,43.0
2022-03-20,USR0000CBAR,156.0,44.0,60.0,40.0
2022-03-21,USR0000CBAR,178.0,67.0,64.0,44.0
2022-03-22,USR0000CBAR,294.0,83.0,85.0,47.0
2022-03-23,USR0000CBAR,178.0,67.0,64.0,44.0
2022-03-24,USR0000CBAR,200.0,67.0,68.0,44.0
2022-03-25,USR0000CBAR,194.0,61.0,67.0,43.0
2022-03-26,USR0000CBAR,189.0,72.0,66.0,45.0
2022-03-27,USR0000CBAR,128.0,72.0,55.0,45.0
2022-03-28,USR0000CBAR,139.0,83.0,57.0,47.0
2022-03-29,USR0000CBAR,117.0,83.0,53.0,47.0
2022-03-30,USR0000CBAR,133.0,72.0,56.0,45.0
2022-03-31,USR0000CBAR,200.0,61.0,68.0,43.0
2022-04-01,USR0000CBAR,211.0,61.0,70.0,43.0
2022-04-02,USR0000CBAR,228.0,61.0,73.0,43.0
2022-04-03,USR0000CBAR,161.0,78.0,61.0,46.0
2022-04-04,USR0000CBAR,161.0,78.0,61.0,46.0
2022-04-05,USR0000CBAR,189.0,72.0,66.0,45.0
2022-04-06,USR0000CBAR,272.0,106.0,81.0,51.0
2022-04-07,USR0000CBAR,322.0,167.0,90.0,62.0
2022-04-08,USR0000CBAR,217.0,78.0,71.0,46.0
2022-04-09,USR0000CBAR,178.0,72.0,64.0,45.0
2022-04-10,USR0000CBAR,144.0,67.0,58.0,44.0
2022-04-11,USR0000CBAR,94.0,50.0,49.0,41.0
2022-04-12,USR0000CBAR,117.0,44.0,53.0,40.0
2022-04-13,USR0000CBAR,144.0,56.0,58.0,42.0
2022-04-14,USR0000CBAR,111.0,56.0,52.0,42.0
2022-04-15,USR0000CBAR,167.0,39.0,62.0,39.0
2022-04-16,USR0000CBAR,139.0,50.0,57.0,41.0
2022-04-17,USR0000CBAR,133.0,44.0,56.0,40.0
2022-04-18,USR0000CBAR,167.0,39.0,62.0,39.0
2022-04-19,USR0000CBAR,156.0,72.0,60.0,45.0
2022-04-20,USR0000CBAR,150.0,89.0,59.0,48.0
2022-04-21,USR0000CBAR,161.0,89.0,61.0,48.0
2022-04-22,USR0000CBAR,150.0,72.0,59.0,45.0
2022-04-23,USR0000CBAR,200.0,67.0,68.0,44.0
2022-04-24,USR0000CBAR,217.0,72.0,71.0,45.0
2022-04-25,USR0000CBAR,189.0,67.0,66.0,44.0
2022-04-26,USR0000CBAR,139.0,67.0,57.0,44.0
2022-04-27,USR0000CBAR,139.0,61.0,57.0,43.0
2022-04-28,USR0000CBAR,128.0,72.0,55.0,45.0
2022-04-29,USR0000CBAR,178.0,56.0,64.0,42.0
2022-04-30,USR0000CBAR,161.0,78.0,61.0,46.0
2022-05-01,USR0000CBAR,194.0,67.0,67.0,44.0
2022-05-02,USR0000CBAR,144.0,72.0,58.0,45.0
2022-05-03,USR0000CBAR,222.0,78.0,72.0,46.0
2022-05-04,USR0000CBAR,261.0,72.0,79.0,45.0
2022-05-05,USR0000CBAR,178.0,78.0,64.0,46.0
2022-05-06,USR0000CBAR,178.0,106.0,64.0,51.0
2022-05-07,USR0000CBAR,144.0,72.0,58.0,45.0
2022-05-08,USR0000CBAR,117.0,61.0,53.0,43.0
2022-05-09,USR0000CBAR,139.0,50.0,57.0,41.0
2022-05-10,USR0000CBAR,122.0,50.0,54.0,41.0
2022-05-11,USR0000CBAR,144.0,50.0,58.0,41.0
